Año,Trimestre,Periodo,Usuarios totales,Ingresos (miles de pesos),Accesos por cada 100 hogares,Accesos por cada 100 hab,Banda ancha fija,Dial up,ADSL,Cablemodem,Fibra óptica,Wireless,Mbps (Media de bajada),Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps
2022,3,Jul-Sept 2022,11091128,67055930,76.64,23.95,11078691,12437,1395277,6031970,2871541,55711,62.46,33013,96727,1161370,1151906,823505,479822,6995750
2022,2,Abr-Jun 2022,10958684,60335724,75.97,23.72,10946248,12436,1468333,5979214,2723285,556243,58.44,33667,99498,1193090,1197030,856562,485321,6741922
2022,1,Ene-Mar 2022,10624009,55589997,73.88,23.05,10611390,12619,1533240,6073426,2219533,545814,55.11,3489,10484,1263273,1209148,967508,509830,6336187
2021,4,Oct-Dic 2021,10489794,45467887,73.18,22.81,10476933,12861,1657615,5984240,2072236,523107,52.34,41262,28521,1413208,1245333,976539,558358,6032322
2021,3,Jul-Sept 2021,10085541,42999944,70.58,21.98,10075184,10357,1950631,5826257,1566048,492415,48.46,40174,41437,2550229,1095772,710122,536364,4948174
2021,2,Abr-Jun 2021,9863084,38239667,69.24,21.55,9852702,10382,2018587,5641731,1472246,476968,45.63,40172,42024,2531271,1080279,693277,647401,4661291
2021,1,Ene-Mar 2021,9647972,36676371,67.95,21.13,9637956,10016,2175211,5424782,1362976,434548,43.11,39487,41674,2593477,1072722,737930,595920,4379965
2020,4,Oct-Dic 2020,9571562,33539703,67.62,21.01,9561546,10016,2213949,5371824,1311199,421554,42.36,3951,42185,2622638,1073875,786595,582420,4239237
2020,3,Jul-Sept 2020,9356199,31997445,66.31,20.59,9346183,10016,2263889,5259351,1170879,413259,40.67,41038,44005,2637984,1040017,799350,538567,4053461
2020,2,Abr-Jun 2020,9031056,32102476,64.21,19.92,9021040,10016,2295533,5005115,1106725,376667,38.32,41038,4869,2651502,1053107,807775,523437,3711499
2020,1,Ene-Mar 2020,8812426,29946216,62.86,19.48,8802435,9991,2299457,4903674,1047817,352333,37.52,4255,5617,2649819,1022014,814470,532309,3500882
2019,4,Oct-Dic 2019,8793181,24169251,62.92,19.49,8783053,10128,2414575,4883869,941295,340144,28.26,38272,2898,2792307,1046128,851619,1004083,2830746
2019,3,Jul-Sept 2019,9164684,21652748,65.79,20.36,9142891,21793,2909805,4800091,852221,338241,24.18,241713,80599,3309137,1026859,806466,1141545,2314898
2019,2,Abr-Jun 2019,8960181,20743118,64.53,19.96,8938427,21754,2990457,4635575,760794,308027,20.33,20279,9598,3444458,871142,1169632,1250366,1677830
2019,1,Ene-Mar 2019,8648135,20207414,62.48,19.31,8626323,21812,3132789,4435439,637099,276419,17.38,166573,195706,3428759,882836,1464748,1244215,1138728
2018,4,Oct-Dic 2018,8473655,16637687,61.42,18.97,8451841,21814,3329027,4313831,388013,264299,15.95,13874,201196,3337982,882388,1472634,1688748,599579
2018,3,Jul-Sept 2018,8347035,15410981,60.69,18.73,8320223,26812,3521447,4238171,247366,246181,15.36,5675,220589,3401277,859413,1607137,1571692,524777
2018,2,Abr-Jun 2018,8110444,14319467,59.16,18.24,8083533,26911,3557216,4038141,226285,194267,13.85,5972,219467,3316868,979416,1905839,1000036,444391
2018,1,Ene-Mar 2018,8037053,13171459,58.82,18.12,8009981,27072,3574294,3981129,217460,1653,13.22,7309,215406,3272724,976956,2068087,862010,397977
2017,4,Oct-Dic 2017,7870222,11226127,57.78,17.79,7842778,27444,3584311,3818157,211425,155775,12.01,15041,221474,3773159,1005545,1730353,631946,337559
2017,3,Jul-Sept 2017,7724943,10065998,56.9,17.51,7696594,28349,3622575,3670221,193964,106443,8.34,19022,217997,4062226,1062810,1592304,353480,245790
2017,2,Abr-Jun 2017,7429664,9678647,54.9,16.88,7401134,2853,3723518,3383434,180777,85813,7.16,22366,222766,4416065,990281,1342000,231604,98635
2017,1,Ene-Mar 2017,7305854,8701201,54.16,16.64,7277314,2854,3708898,3276251,180146,84813,6.62,20653,230159,4584534,975027,1129987,210668,47990
2016,4,Oct-Dic 2016,7251673,7483980,53.94,16.56,7223128,28545,3722794,3210602,178070,85119,6.34,20724,233398,4673339,971094,1038029,169522,38590
2016,3,Jul-Sept 2016,7206950,6912442,53.73,16.5,7178340,2861,3776442,3124855,169898,81455,5.94,20104,294413,4816081,936533,919208,124564,31022
2016,2,Abr-Jun 2016,7130079,6534241,53.34,16.37,7097604,32475,3782085,3035272,167788,85452,5.42,44008,384221,5058481,796998,785759,73977,29020
2016,1,Ene-Mar 2016,6907356,5936845,51.85,15.9,6874704,32652,3792493,2806359,164371,8537,5.08,30428,40481,4944358,762999,641646,27664,23380
2015,4,Oct-Dic 2015,6984831,5376899,52.63,16.12,6952289,32542,3803024,2898226,139187,85726,4.99,34243,427394,5049640,726740,639011,17568,22170
2015,3,Jul-Sept 2015,6935068,5153739,52.46,16.05,6902267,32801,3788696,2840203,162663,8453,4.79,3503,455777,5087802,701187,539414,13101,20677
2015,2,Abr-Jun 2015,6816188,4701791,51.76,15.82,6783279,32909,3767821,2756294,150839,82077,4.55,40723,500175,5138431,645440,432762,10045,18529
2015,1,Ene-Mar 2015,6737732,4876385,51.36,15.68,6699714,38018,3756153,2668248,168188,79098,4.35,41158,516919,5121423,571620,348102,7643,16347
2014,4,Oct-Dic 2014,6598496,3950441,50.5,15.39,6559172,39324,3764038,2536219,149682,76984,4.16,44075,554749,5084556,496251,276254,4371,15229
2014,3,Jul-Sept 2014,6595271,3478638,50.67,15.43,6559264,36007,3714764,2569868,155494,85096,3.87,3743,608018,5153437,373372,182483,507,12424
2014,2,Abr-Jun 2014,6464468,3270816,49.86,15.16,6428329,36139,3708882,2461670,149363,72405,3.76,41064,656408,5149574,341689,147273,478,12259
2014,1,Ene-Mar 2014,6398398,2984054,49.55,15.05,6362108,3629,3697066,2407330,150323,70749,3.62,52684,687619,5130294,289182,101127,345,11595
